City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,280.4,65,40,7.2,CL,1684870864
1,luwingu,-10.2621,29.9271,290.77,82,41,1.9,ZM,1684870865
2,dunedin,-45.8742,170.5036,281.37,68,11,2.24,NZ,1684870714
3,ushuaia,-54.8,-68.3,280.96,76,75,1.54,AR,1684870670
4,puerto ayora,-0.7393,-90.3518,302.13,87,78,3.13,EC,1684870866
5,richards bay,-28.783,32.0377,291.4,83,100,3.12,ZA,1684870866
6,arawa,-6.2132,155.5367,297.81,89,100,1.65,PG,1684870867
7,zeya,53.75,127.2667,282.88,94,100,2.28,RU,1684870867
8,port-aux-francais,-49.35,70.2167,281.16,98,100,15.33,TF,1684870644
9,tiksi,71.6872,128.8694,263.68,92,27,1.02,RU,1684870650
10,borba,-4.3878,-59.5939,300.66,94,100,0.83,BR,1684870868
11,nuku'alofa,-21.1333,-175.2,295.34,100,75,1.03,TO,1684870869
12,haapsalu,58.9431,23.5414,286.99,71,2,2.32,EE,1684870869
13,san antonio,29.4241,-98.4936,306.21,58,75,6.17,US,1684870605
14,bethel,41.3712,-73.414,296.13,52,0,5.14,US,1684870870
15,edinburgh of the seven seas,-37.0676,-12.3116,287.15,70,41,14.33,SH,1684870871
16,mugia,43.1041,-9.2179,294.91,86,4,12.18,ES,1684870871
17,al kharijah,25.4514,30.5464,302.86,13,0,4.43,EG,1684870702
18,waitangi,-43.9535,-176.5597,287.15,85,0,6.49,NZ,1684870872
19,constitucion,-35.3333,-72.4167,286.55,76,100,3.28,CL,1684870856
20,hammerfest,70.6634,23.6821,280.4,87,75,1.54,NO,1684870873
21,dul'durga,50.6761,113.5931,281.51,58,99,2.57,RU,1684870873
22,grytviken,-54.2811,-36.5092,275.58,85,56,4.93,GS,1684870874
23,qaqortoq,60.7167,-46.0333,274.15,65,13,8.33,GL,1684870669
24,adamstown,-25.066,-130.1015,297.84,86,54,13.77,PN,1684870875
25,blackmans bay,-43.0167,147.3167,286.22,74,39,3.13,AU,1684870679
26,okhotsk,59.3833,143.3,276.17,75,0,1.9,RU,1684870716
27,alice springs,-23.7,133.8833,274.9,87,0,2.74,AU,1684870795
28,dudinka,69.4058,86.1778,272.94,94,44,4.61,RU,1684870876
29,swift current,50.2834,-107.8014,297.66,19,72,2.42,CA,1684870877
30,vila franca do campo,37.7167,-25.4333,290.38,79,59,4.11,PT,1684870877
31,jamestown,42.097,-79.2353,298.72,38,20,4.12,US,1684870877
32,codrington,-38.2667,141.9667,286.09,72,100,6.24,AU,1684870878
33,sisimiut,66.9395,-53.6735,271.32,90,100,7.65,GL,1684870645
34,saudarkrokur,65.7461,-19.6394,277.34,82,65,15.89,IS,1684870731
35,iqaluit,63.7506,-68.5145,269.0,68,20,10.8,CA,1684870879
36,rechytsa,52.3617,30.3916,290.21,85,16,2.15,BY,1684870856
37,conde,-7.2597,-34.9075,301.85,74,75,6.17,BR,1684870739
38,port mathurin,-19.6833,63.4167,298.41,58,54,5.34,MU,1684870650
39,szeged,46.253,20.1482,291.82,71,85,1.14,HU,1684870881
40,port elizabeth,-33.918,25.5701,285.43,87,0,2.06,ZA,1684870617
41,lobujya,27.95,86.8167,269.37,60,100,2.43,NP,1684870881
42,kailua-kona,19.6406,-155.9956,297.92,90,75,5.66,US,1684870882
43,ola,59.5833,151.2833,276.01,98,100,2.45,RU,1684870702
